"No","Meting door:","Datum","Gewicht in kg","Vetpercentage in %","Spiermassa in KG","Spiermassa in PERCENTAGE (nu met kommagetal!)","Lichaamsvocht in KG","Lichaamsvocht in PERCENTAGE (nu met kommagetal)","Botmassa in KG","Botmassa in PERCENTAGE (nu met kommagetal)","Notities"
"420","BasicFit apparaat","06-04-2022 07:13:56","82,9","27,0",,"67,0",,"56,0",,"6,0",""
"419","Weegschaal thuis","06-04-2022 06:41:36","83,4",,,,,,,,""
"418","Weegschaal thuis","03-04-2022 14:37:04","82,0",,,,,,,,"Gisteren cheatday gehad, circa 3750 kcal"
"417","Weegschaal thuis","02-04-2022 11:35:46","81,4",,,,,,,,""
"416","Weegschaal thuis","01-04-2022 10:57:36","81,7",,,,,,,,""
"415","Weegschaal thuis","30-03-2022 08:52:40","82,4",,,,,,,,"Afgelopen maandag aan deload week begonnen (2 keer per week fitnis, 2 sets ipv 3, dezelfde zwaarte qua gewichten en reps)"
"414","Better Bodies apparaat","28-03-2022 21:04:57","82,7","18,4","64,2",,"46,5","56,2","3,3",,"Gunstige meting zeg!"
"413","Weegschaal thuis","27-03-2022 13:13:46","82,9",,,,,,,,"Gisteren cheatday gehad, circa 3500 kcal"
"412","Weegschaal thuis","26-03-2022 12:53:46","82,5",,,,,,,,""
"411","Weegschaal thuis","25-03-2022 16:05:08","82,0",,,,,,,,""
"410","Weegschaal thuis","24-03-2022 08:48:23","82,0",,,,,,,,""
"409","Weegschaal thuis","21-03-2022 08:52:48","81,3",,,,,,,,""
"408","Weegschaal thuis","20-03-2022 11:02:21","81,1",,,,,,,,"Gisteren cheatday, circa 3750 kcal"
"407","Weegschaal thuis","19-03-2022 11:49:03","81,5",,,,,,,,""
"406","Weegschaal thuis","16-03-2022 06:33:47","81,7",,,,,,,,""
"405","Weegschaal thuis","15-03-2022 06:37:59","82,4",,,,,,,,""
"404","Weegschaal thuis","14-03-2022 06:19:52","82,5",,,,,,,,"Eergisteren cheatday gehad, circa 3500 kcal"
"403","BasicFit apparaat","11-03-2022 09:57:57","80,4","26,0",,"68,0",,"56,0",,"6,0",""
"402","Weegschaal thuis","10-03-2022 06:39:09","81,0",,,,,,,,""
"401","Health Advies Breda (handmatig - tangen)","09-03-2022 12:35:11","80,0","13,5",,,,,,,"Niet Lorraine, maar een collega van haar heeft mij gemeten dit keer"
"400","Better Bodies apparaat","07-03-2022 22:58:48","81,9","18,5","63,4",,"46,0","56,2","3,3",,"Plateau op deze meting, maar voorgaande meting was weer erg hoog in spiermassa.. dus misschien is deze meting iets te negatief (te veel vet, gewicht en te weinig spiermassa) en de voorgaande iets te positief (te veel spiermassa)?"
"399","Weegschaal thuis","07-03-2022 08:51:10","81,4",,,,,,,,""
"398","Weegschaal thuis","06-03-2022 12:00:30","80,9",,,,,,,,"Gisteren cheatday circa 4000 kcal"
"397","Weegschaal thuis","05-03-2022 11:28:36","80,3",,,,,,,,""
"396","BasicFit apparaat","03-03-2022 07:18:32","81,0","27,0",,"67,0",,"56,0",,"6,0",""
"395","Weegschaal thuis","03-03-2022 06:27:04","80,8",,,,,,,,""
"394","Weegschaal thuis","02-03-2022 11:52:37","79,6",,,,,,,,""
"393","Weegschaal thuis","27-02-2022 13:06:22","80,1",,,,,,,,""
"392","Weegschaal thuis","26-02-2022 12:40:25","80,2",,,,,,,,""
"391","Weegschaal thuis","25-02-2022 08:37:13","80,1",,,,,,,,""
"390","Weegschaal thuis","24-02-2022 06:38:54","80,8",,,,,,,,""
"389","BasicFit apparaat","23-02-2022 07:16:51","80,9","25,0",,"69,0",,"57,0",,"6,0",""
"388","Weegschaal thuis","23-02-2022 06:49:02","80,8",,,,,,,,""
"387","Weegschaal thuis","22-02-2022 06:18:29","80,6",,,,,,,,""
"386","Better Bodies apparaat","21-02-2022 20:58:56","80,5","17,2","63,4",,"46,0","57,1","3,3",,"Dat ziet er een stuk beter uit; 45 sec rust tussen sets EN 250 kcal extra kcal (2 x glas van 250ml sinaasappelsap) werkt!"
"385","Weegschaal thuis","21-02-2022 08:52:28","80,5",,,,,,,,"Eergisteren cheatday gehad, circa 4000  calorien"
"384","BasicFit apparaat","19-02-2022 13:55:33","79,5","24,0",,"69,0",,"57,0",,"6,0",""
"383","Weegschaal thuis","19-02-2022 11:26:07","79,6",,,,,,,,""
"382","Weegschaal thuis","18-02-2022 08:35:32","79,9",,,,,,,,""
"381","Weegschaal thuis","17-02-2022 06:36:21","80,3",,,,,,,,""
"380","BasicFit apparaat","16-02-2022 07:21:25","79,8","25,0",,"69,0",,"57,0",,"6,0",""
"379","Weegschaal thuis","16-02-2022 06:39:32","80,0",,,,,,,,""
"378","Weegschaal thuis","15-02-2022 08:55:29","79,9",,,,,,,,""
"377","Weegschaal thuis","14-02-2022 06:37:58","79,6",,,,,,,,"EERGISTEREN cheatday gehad; circa 3500 kcal"
"376","Weegschaal thuis","11-02-2022 08:32:18","79,0",,,,,,,,""
"375","BasicFit apparaat","09-02-2022 07:17:54","79,8","25,0",,"69,0",,,,"6,0",""
"374","Weegschaal thuis","09-02-2022 06:22:56","79,4",,,,,,,,""
"373","Weegschaal thuis","08-02-2022 08:49:29","79,1",,,,,,,,""
"372","Better Bodies apparaat","07-02-2022 20:56:49","79,4","17,0","62,6",,"45,5","57,3","3,3",,"Nagenoeg gelijke spiermassa aan vorige meting en ietsjes meer vet dan de vorige better bodies meting? Wijst dit op een plateau? Moet ik meer eten ( 250kcal)? Of andere oefeningen/zwaarder trainen (minder reps, meer gewicht)?"
"371","Weegschaal thuis","07-02-2022 08:35:49","78,7",,,,,,,,""
"370","Weegschaal thuis","06-02-2022 10:30:00","78,1",,,,,,,,"Gisteren cheatday gehad; bijna 4000 kcal"
"369","Weegschaal thuis","05-02-2022 11:22:46","78,9",,,,,,,,""
"368","Weegschaal thuis","04-02-2022 06:53:20","79,3",,,,,,,,""
"367","Weegschaal thuis","03-02-2022 06:14:29","78,9",,,,,,,,""
"366","Health Advies Breda (handmatig - tangen)","02-02-2022 12:22:39","78,0","12,9",,,,,,,""
"365","BasicFit apparaat","02-02-2022 07:13:28","80,0","24,0",,"70,0",,,,"6,0",""
"364","Weegschaal thuis","02-02-2022 06:26:20","79,4",,,,,,,,""
"363","Weegschaal thuis","01-02-2022 07:21:19","78,9",,,,,,,,""
"362","Weegschaal thuis","30-01-2022 11:59:09","78,8",,,,,,,,"Gisteren cheatday circa 3500 kcal"
"361","Weegschaal thuis","28-01-2022 08:54:55","77,9",,,,,,,,""
"360","BasicFit apparaat","27-01-2022 07:19:34","78,7","25,0",,"69,0",,,,"6,0",""
"359","Weegschaal thuis","27-01-2022 06:30:12","78,2",,,,,,,,""
"358","Weegschaal thuis","26-01-2022 06:41:46","78,8",,,,,,,,""
"357","Weegschaal thuis","25-01-2022 07:49:10","78,4",,,,,,,,""
"356","Weegschaal thuis","24-01-2022 08:34:39","78,4",,,,,,,,""
"355","Weegschaal thuis","23-01-2022 13:02:07","78,0",,,,,,,,"Gisteren cheatday, 3500 kcal"
"354","Weegschaal thuis","22-01-2022 10:28:50","77,9",,,,,,,,""
"353","Weegschaal thuis","21-01-2022 08:47:14","78,1",,,,,,,,""
"352","Weegschaal thuis","20-01-2022 06:36:47","78,0",,,,,,,,""
"351","Weegschaal thuis","19-01-2022 06:22:08","78,2",,,,,,,,""
"350","Weegschaal thuis","18-01-2022 08:52:34","78,6",,,,,,,,""
"349","Better Bodies apparaat","17-01-2022 21:07:55","79,3","16,7","62,8",,"45,6","57,5","3,3",,"Eerste Better Bodies meting sinds de lockdown van 18 dec 2021 tot 14 januari 2022."
"348","Health Advies Breda (handmatig - tangen)","17-01-2022 11:54:33","77,5","12,0",,,,,,,""
"346","BasicFit apparaat","17-01-2022 07:22:21","79,3","24,0",,"70,0",,,,"6,0","Ook deze meting klopt niet denk ik, interface Basicfit apparaat is geupdate, daarmee wellicht ook het algoritme achter de meting"
"347","Weegschaal thuis","17-01-2022 06:40:39","79,3",,,,,,,,""
"345","Weegschaal thuis","16-01-2022 14:15:37","77,8",,,,,,,,"Gisteren cheatday gehad, circa 4000 kcal"
"344","BasicFit apparaat","15-01-2022 13:06:14","77,3","23,0",,"71,0",,,,"6,0","Na lockdown van een maand weer open, nieuwe interface bodyscanner. Meting lijkt qua vet nogal hoog.. hopelijk is deze meting en toekomstigen consitent met de oude metingen"
"343","Weegschaal thuis","15-01-2022 11:34:17","77,1",,,,,,,,""
"342","Weegschaal thuis","14-01-2022 09:06:22","78,1",,,,,,,,""
"341","Weegschaal thuis","13-01-2022 09:19:03","77,4",,,,,,,,""
"340","Weegschaal thuis","12-01-2022 08:53:51","77,7",,,,,,,,""
"339","Weegschaal thuis","11-01-2022 06:37:45","77,7",,,,,,,,""
"338","Weegschaal thuis","10-01-2022 08:52:48","77,2",,,,,,,,""
"337","Weegschaal thuis","09-01-2022 14:12:40","76,6",,,,,,,,"Gusteren cheatday gehad, circa 3500 kcal"
"336","Weegschaal thuis","06-01-2022 10:49:49","76,9",,,,,,,,""
"335","Weegschaal thuis","05-01-2022 12:07:06","76,6",,,,,,,,""
"334","Weegschaal thuis","03-01-2022 09:15:58","77,1",,,,,,,,""
"333","Weegschaal thuis","02-01-2022 13:11:03","77,0",,,,,,,,""
"332","Weegschaal thuis","01-01-2022 13:54:07","76,9",,,,,,,,""
"331","Weegschaal thuis","31-12-2021 12:41:45","77,1",,,,,,,,""
"330","Weegschaal thuis","30-12-2021 11:16:24","77,3",,,,,,,,""
"329","Weegschaal thuis","29-12-2021 10:56:14","76,4",,,,,,,,""
"328","Weegschaal thuis","28-12-2021 12:34:22","76,5",,,,,,,,""
"327","Weegschaal thuis","27-12-2021 11:39:56","76,5",,,,,,,,""
"326","Weegschaal thuis","26-12-2021 12:17:30","76,9",,,,,,,,"Gisteren cheatday gehad, circa 3250 kcal"
"325","Weegschaal thuis","25-12-2021 11:00:54","77,5",,,,,,,,""
"324","Weegschaal thuis","24-12-2021 08:51:47","76,5",,,,,,,,""
"323","Weegschaal thuis","23-12-2021 08:51:03","76,5",,,,,,,,""
"322","Weegschaal thuis","22-12-2021 08:53:07","76,7",,,,,,,,""
"321","Weegschaal thuis","21-12-2021 08:51:30","76,4",,,,,,,,""
"320","Weegschaal thuis","20-12-2021 09:04:35","76,6",,,,,,,,""
"319","Weegschaal thuis","19-12-2021 13:33:15","77,4",,,,,,,,"Gisteren cheatday gehad, circa 3150 kcal"
"318","Weegschaal thuis","18-12-2021 12:47:00","76,3",,,,,,,,""
"317","Health Advies Breda (handmatig - tangen)","17-12-2021 12:36:21","75,5","11,0",,,,,,,"Gemeten door iemand anders bij Health Advies Breda. Coach Lorraine was ziek."
"316","Weegschaal thuis","17-12-2021 09:07:57","76,1",,,,,,,,""
"315","Weegschaal thuis","16-12-2021 06:34:39","76,4",,,,,,,,""
"314","BasicFit apparaat","15-12-2021 07:24:56","76,8","14,5",,"81,3",,,,"4,3",""
"313","Weegschaal thuis","15-12-2021 06:32:57","76,6",,,,,,,,""
"312","Weegschaal thuis","14-12-2021 09:09:17","76,4",,,,,,,,""
"311","BasicFit apparaat","13-12-2021 07:21:33","75,5","13,8",,"82,0",,,,"4,2",""
"310","Weegschaal thuis","13-12-2021 06:40:51","75,7",,,,,,,,""
"309","Weegschaal thuis","12-12-2021 12:18:44","75,7",,,,,,,,"Gisteren cheatday gehad, circa 3500 kcal"
"308","Weegschaal thuis","11-12-2021 11:37:20","75,3",,,,,,,,""
"307","Weegschaal thuis","10-12-2021 06:47:24","75,2",,,,,,,,""
"306","BasicFit apparaat","09-12-2021 07:35:41","75,2","15,2",,"80,6",,,,"4,3",""
"305","Weegschaal thuis","09-12-2021 06:41:05","75,2",,,,,,,,""
"304","Weegschaal thuis","08-12-2021 06:42:40","75,5",,,,,,,,""
"303","BasicFit apparaat","06-12-2021 07:19:40","75,6","14,4",,"81,3",,,,"4,2",""
"302","Weegschaal thuis","05-12-2021 12:10:13","74,8",,,,,,,,"Gisteren cheatday gehad, circa 4000 kcal!"
"301","Weegschaal thuis","04-12-2021 12:54:38","73,8",,,,,,,,""
"300","BasicFit apparaat","03-12-2021 07:15:44","74,9","15,0",,"80,8",,,,"4,3","Vetpercentage iets te hoog hoop ik?"
"299","Weegschaal thuis","03-12-2021 06:33:00","74,8",,,,,,,,""
"298","Weegschaal thuis","02-12-2021 08:53:12","74,5",,,,,,,,""
"297","BasicFit apparaat","01-12-2021 07:17:39","74,9","14,3",,"81,4",,,,,""
"296","Weegschaal thuis","01-12-2021 06:31:40","75,0",,,,,,,,""
"295","Weegschaal thuis","30-11-2021 08:53:32","74,9",,,,,,,,""
"294","Weegschaal thuis","29-11-2021 06:21:22","75,0",,,,,,,,""
"293","Weegschaal thuis","28-11-2021 10:59:53","74,5",,,,,,,,"Gisteren cheatday gehad, circa 3750 kcal"
"292","Weegschaal thuis","27-11-2021 11:00:51","74,5",,,,,,,,""
"291","BasicFit apparaat","26-11-2021 08:22:16","74,6","14,6",,"81,1",,,,"4,3",""
"290","Weegschaal thuis","26-11-2021 07:27:39","74,5",,,,,,,,""
"289","Weegschaal thuis","25-11-2021 09:04:18","74,3",,,,,,,,""
"288","BasicFit apparaat","24-11-2021 07:07:21","74,8","14,3",,"81,4",,,,"4,3","Meting ongeveer gelijk als die van better bodies eergisteren. Is mijn vetpercentage dan zo snel gestegen?"
"287","Weegschaal thuis","24-11-2021 06:26:32","74,6",,,,,,,,""
"286","Weegschaal thuis","23-11-2021 08:30:00","74,7",,,,,,,,""
"285","Better Bodies apparaat","22-11-2021 21:00:13","75,1","14,6","60,9",,"44,5","59,3","3,2",,"Vetpercentage wellicht iets hoger dan normaal omdat lichaamsvocht wat lager was dan de vorige meting bij better bodies?"
"284","Weegschaal thuis","22-11-2021 09:00:30","74,9",,,,,,,,""
"283","Weegschaal thuis","21-11-2021 11:14:47","74,2",,,,,,,,"Gisteren cheatday gehad, circa 3500 kcal"
"282","Weegschaal thuis","20-11-2021 11:56:44","73,9",,,,,,,,""
"281","Weegschaal thuis","19-11-2021 07:25:02","74,2",,,,,,,,""
"280","BasicFit apparaat","18-11-2021 07:06:56","74,4","13,7",,"82,0",,,,"4,3",""
"279","Weegschaal thuis","18-11-2021 06:04:56","74,4",,,,,,,,""
"278","Weegschaal thuis","17-11-2021 06:22:51","74,2",,,,,,,,""
"277","Weegschaal thuis","16-11-2021 07:41:43","74,1",,,,,,,,""
"276","Weegschaal thuis","15-11-2021 08:52:32","73,8",,,,,,,,""
"275","Weegschaal thuis","14-11-2021 11:17:39","73,8",,,,,,,,"Gisteren cheatday gehad, circa 4000 kcal"
"274","Weegschaal thuis","13-11-2021 10:31:14","72,7",,,,,,,,""
"273","BasicFit apparaat","12-11-2021 07:11:08","72,8","13,3",,"82,4",,,,"4,3",""
"272","Weegschaal thuis","12-11-2021 06:20:52","73,0",,,,,,,,""
"271","Weegschaal thuis","11-11-2021 08:56:08","72,9",,,,,,,,""
"270","BasicFit apparaat","10-11-2021 18:08:11","71,1","11,1",,"84,5",,,,"4,4","Meting op de begin van de avond ipv ochtend. Meting is erg optimisch denk ik; ik ben een paar kilo zwaarder en heb wat hoger vetpercentage."
"269","Weegschaal thuis","10-11-2021 06:42:17","73,9",,,,,,,,""
"268","Weegschaal thuis","09-11-2021 07:49:04","74,0",,,,,,,,""
"267","Weegschaal thuis","08-11-2021 06:05:06","73,3",,,,,,,,"Gisteren cheatday gehad, circa 3500-3650 kcal"
"266","Weegschaal thuis","07-11-2021 10:18:42","73,2",,,,,,,,""
"265","Health Advies Breda (handmatig - tangen)","06-11-2021 16:06:49","72,5","11,0",,,,,,,""
"264","Weegschaal thuis","06-11-2021 09:18:55","73,2",,,,,,,,""
"263","Weegschaal thuis","05-11-2021 08:50:26","72,8",,,,,,,,""
"262","BasicFit apparaat","04-11-2021 07:01:14","73,0","13,3",,"82,3",,,,"4,4",""
"261","Weegschaal thuis","04-11-2021 06:06:04","73,1",,,,,,,,""
"260","BasicFit apparaat","03-11-2021 07:05:38","73,7","13,2",,"82,5",,,,"4,3",""
"259","Weegschaal thuis","03-11-2021 06:05:46","73,3",,,,,,,,""
"258","Weegschaal thuis","02-11-2021 06:34:46","72,8",,,,,,,,""
"257","Weegschaal thuis","01-11-2021 06:25:59","72,7",,,,,,,,"Gisteren cheatday gehad, circa 3500 - 3750 kcal."
"256","Weegschaal thuis","30-10-2021 11:37:18","72,8",,,,,,,,""
"255","BasicFit apparaat","29-10-2021 07:30:39","72,3","13,3",,"82,4",,,,"4,3",""
"254","Weegschaal thuis","29-10-2021 06:46:58","72,3",,,,,,,,""
"253","Weegschaal thuis","28-10-2021 08:56:34","71,8",,,,,,,,""
"252","BasicFit apparaat","27-10-2021 07:32:53","72,1","12,3",,"83,4",,,,"4,3",""
"251","Weegschaal thuis","27-10-2021 06:41:22","72,4",,,,,,,,""
"250","Weegschaal thuis","26-10-2021 06:26:30","72,1",,,,,,,,""
"249","BasicFit apparaat","25-10-2021 20:54:58","72,4","13,3","59,7",,"43,7","60,4",,"3,1",""
"248","Weegschaal thuis","25-10-2021 09:03:43","71,9",,,,,,,,""
"247","Weegschaal thuis","24-10-2021 11:13:46","71,2",,,,,,,,"Gisteren cheatday gehad, circa 3500 kcal!"
"246","Weegschaal thuis","23-10-2021 09:48:53","71,4",,,,,,,,""
"245","Weegschaal thuis","22-10-2021 09:09:34","71,6",,,,,,,,""
"244","BasicFit apparaat","21-10-2021 07:03:50","71,5","12,7",,"82,9",,,,"4,3",""
"243","Weegschaal thuis","21-10-2021 06:27:51","71,3",,,,,,,,""
"242","BasicFit apparaat","20-10-2021 10:20:20","72,0","12,6",,"83,1",,,,"4,3",""
"241","Weegschaal thuis","20-10-2021 09:09:00","71,3",,,,,,,,""
"240","Weegschaal thuis","19-10-2021 08:54:02","70,8",,,,,,,,""
"239","Weegschaal thuis","18-10-2021 08:38:44","71,2",,,,,,,,""
"238","Weegschaal thuis","17-10-2021 12:45:17","69,8",,,,,,,,"Gisteren cheatday gehad, 3500 kcal ongeveer"
"237","Weegschaal thuis","15-10-2021 08:49:37","70,5",,,,,,,,""
"236","BasicFit apparaat","14-10-2021 07:03:21","71,2","12,8",,"82,9",,,,"4,4",""
"235","Weegschaal thuis","14-10-2021 06:22:15","70,6",,,,,,,,""
"234","BasicFit apparaat","13-10-2021 07:33:39","71,4","12,0",,"83,6",,,,"4,3",""
"233","Weegschaal thuis","13-10-2021 06:39:42","71,6",,,,,,,,""
"232","Weegschaal thuis","12-10-2021 09:00:50","71,0",,,,,,,,""
"231","Weegschaal thuis","11-10-2021 08:50:31","71,5",,,,,,,,""
"230","Weegschaal thuis","10-10-2021 11:02:50","70,8",,,,,,,,""
"229","Weegschaal thuis","09-10-2021 10:42:02","70,8",,,,,,,,""
"228","BasicFit apparaat","07-10-2021 08:38:06","70,9","11,1",,"84,5",,,,"4,4","Meting is gedaan NA de training, maar ik voelde sowieso wat meer spierkracht/power tijdens de training dus niet gek dat deze ook lekker positief is. Komt dit doordat ik simpelweg meer spiermassa heb verkregen of omdat ik recent begonnen ben met creatine?"
"227","Weegschaal thuis","07-10-2021 06:21:01","70,7",,,,,,,,""
"226","BasicFit apparaat","06-10-2021 07:11:13","71,0","12,3",,"83,4",,,,"4,4",""
"225","Weegschaal thuis","06-10-2021 06:21:53","71,2",,,,,,,,""
"224","Weegschaal thuis","05-10-2021 08:50:01","69,9",,,,,,,,""
"223","Weegschaal thuis","04-10-2021 08:51:10","70,5",,,,,,,,"Start inname creatine, eigenlijk te lang mee gewacht maargoed.. gewicht zal wel weer iets sneller gaan toenemen (1-2kg) en zal vooral vocht zijn."
"222","Weegschaal thuis","03-10-2021 11:23:32","70,0",,,,,,,,"Gisteren cheatday gehad, 3250 kcal precies!"
"221","Health Advies Breda (handmatig - tangen)","02-10-2021 15:42:28","70,0","10,8",,,,,,,"Lorraine van Health Advies Breda was met vakantie, dus een collega van haar heeft mij vandaag geholpen"
"220","Weegschaal thuis","02-10-2021 09:29:07","70,2",,,,,,,,""
"219","BasicFit apparaat","01-10-2021 07:13:09","70,3","11,8",,"83,8",,,,"4,4",""
"218","Weegschaal thuis","01-10-2021 06:22:23","70,2",,,,,,,,""
"217","Weegschaal thuis","30-09-2021 08:49:28","69,7",,,,,,,,""
"216","Weegschaal thuis","29-09-2021 06:33:20","70,0",,,,,,,,""
"215","Weegschaal thuis","28-09-2021 09:03:56","69,2",,,,,,,,""
"214","Better Bodies apparaat","27-09-2021 20:48:28","70,0","11,8","58,6",,"43,3","61,9","3,1",,""
"213","Weegschaal thuis","27-09-2021 08:51:47","69,9",,,,,,,,""
"212","Weegschaal thuis","26-09-2021 10:32:29","68,9",,,,,,,,""
"211","Weegschaal thuis","25-09-2021 07:35:49","68,9",,,,,,,,""
"210","BasicFit apparaat","24-09-2021 07:23:46","69,2","11,4",,"84,1",,,,"4,5",""
"209","Weegschaal thuis","24-09-2021 06:38:43","68,9",,,,,,,,""
"208","BasicFit apparaat","23-09-2021 07:10:53","68,8","11,6",,"84,0",,,,"4,4",""
"207","Weegschaal thuis","23-09-2021 06:25:30","68,7",,,,,,,,""
"206","BasicFit apparaat","22-09-2021 07:00:48","69,6","12,1",,"83,5",,,,"4,5",""
"205","Weegschaal thuis","22-09-2021 06:07:11","69,5",,,,,,,,""
"204","Weegschaal thuis","21-09-2021 06:21:47","68,8",,,,,,,,""
"203","Weegschaal thuis","20-09-2021 08:59:23","69,1",,,,,,,,""
"202","BasicFit apparaat","19-09-2021 11:22:14","69,2","10,3",,"85,3",,,,"4,5",""
"201","Weegschaal thuis","19-09-2021 10:31:08","69,6",,,,,,,,"Gisteren cheatday gehad, 3000 - 4000 kcal op. Beetje losgegaan met sushi, dessert en wat meer bier op dan gewoon.. ach het is bulktijd toch?"
"200","Weegschaal thuis","18-09-2021 10:58:56","68,8",,,,,,,,""
"199","BasicFit apparaat","17-09-2021 07:11:38","68,9","11,5",,"84,2",,,,"4,4",""
"198","Weegschaal thuis","17-09-2021 06:22:04","69,1",,,,,,,,""
"197","Weegschaal thuis","16-09-2021 09:02:26","68,6",,,,,,,,""
"196","BasicFit apparaat","15-09-2021 07:06:12","69,5","11,7",,"83,9",,,,"4,5",""
"195","Weegschaal thuis","15-09-2021 06:06:14","68,8",,,,,,,,""
"194","Weegschaal thuis","14-09-2021 08:50:12","68,1",,,,,,,,""
"193","Weegschaal thuis","13-09-2021 09:09:23","68,6",,,,,,,,""
"192","Weegschaal thuis","12-09-2021 11:33:54","67,7",,,,,,,,"Gisteren cheatday gehad, circa 3000-3250 kcal"
"191","BasicFit apparaat","11-09-2021 15:05:54","67,8","10,0",,"85,5",,,,"4,4","Wat later op de dag gaan sporten, toen ik al wat gegeten had enzo.."
"190","Weegschaal thuis","11-09-2021 10:44:02","67,9",,,,,,,,""
"189","BasicFit apparaat","10-09-2021 07:11:56","68,0","10,7",,"84,9",,,,"4,4",""
"188","Weegschaal thuis","10-09-2021 06:19:51","67,8",,,,,,,,""
"187","Weegschaal thuis","09-09-2021 08:50:47","67,5",,,,,,,,""
"186","Weegschaal thuis","08-09-2021 06:34:08","67,6",,,,,,,,""
"185","Weegschaal thuis","07-09-2021 08:50:43","67,2",,,,,,,,""
"184","BasicFit apparaat","06-09-2021 08:23:42","66,7","9,3",,"86,2",,,,"4,5",""
"183","Weegschaal thuis","06-09-2021 06:09:16","67,3",,,,,,,,"Vanaf vandaag 3250 kcal! Gisteren cheatday gehad (3000 - 3250 kcal) en aangezien ik afgelopen week zelfs iets ben afgenomen in gewicht en gezien het feit dat mijn spiermassa alweer iets is afgenomen zegt mij dat ik nog steeds hoger moet gaan. Dit werd ook geadviseerd door Lorraine van Health Advies. Er zijn nu eenmaal 'hardgainers' in de wereld die veel moeten eten om aan te komen dus massa te bouwen. Zo vertelde zij ook over een jongen van tussen de 25 - 30 die zij coacht die met 3500 kcal niet aankwam, dus op 4000 ging zitten. Bizar tja, maar gelukkig krijg ik 3250 - 3500 nog wel weg."
"182","Weegschaal thuis","05-09-2021 11:25:09","66,8",,,,,,,,"Vandaag cheatday: 3000 - 3250 kcal"
"181","Health Advies Breda (handmatig - tangen)","04-09-2021 16:23:28","66,0","10,5",,,,,,,""
"180","BasicFit apparaat","04-09-2021 12:32:48","65,8","10,0",,"85,4",,,,"4,6",""
"179","Weegschaal thuis","04-09-2021 10:24:03","66,9",,,,,,,,""
"178","Weegschaal thuis","03-09-2021 11:20:32","66,4",,,,,,,,""
"177","Weegschaal thuis","02-09-2021 08:49:59","66,8",,,,,,,,""
"176","BasicFit apparaat","01-09-2021 07:09:42","67,3","11,0",,"84,5",,,,"4,5",""
"175","Weegschaal thuis","01-09-2021 06:04:36","67,2",,,,,,,,""
"174","Weegschaal thuis","31-08-2021 09:24:18","67,0",,,,,,,,""
"173","Weegschaal thuis","30-08-2021 08:57:55","66,9",,,,,,,,"Gewicht blijft stabiel, stijgt licht maar gisteren en vandaag blijkbaar weer terug op &gt; 67kg? Op naar 2900 a 3000 kcal!<br>Vanaf vandaag 3000 kcal.<br><br>Ook vanaf vandaag <b>niet meer tot spierfalen trainen</b>. Ik ga er voortaan beter op letten (ik had serieus het idee dat tot spierfalen mij sneller/meer zou laten groeien qua spiermassa) dat ik echt tot die 2-3 RIR kom. Dit zou ook voor een beginner niet uit moeten maken heb ik het idee, maar dit wordt wel in veel bronnen vermeld dat tot echt spierfalen (per set zoals ik soms deed) geen voordeel biedt en zelfs tot spierafbraak kan leiden. Dus misschien is dit juist de reden dat mijn spiermassa is afgenomen de afgelopen tijd?<br>Wie weet.<br>Daarbij geeft dit mij wel het voordeel dat mijn training qua gevoel lichter/makkelijker wordt dus ik meer energie overhoudt na de training en meer zin behoud om te trainen."
"172","Weegschaal thuis","29-08-2021 15:03:35","66,0",,,,,,,,"Gisteren cheatday gehad (circa 2750 kcal) en ben net thuis van fissa Emily dus heb al wat water op en wat gegeten"
"171","Weegschaal thuis","28-08-2021 11:28:30","67,1",,,,,,,,""
"170","Weegschaal thuis","27-08-2021 10:53:14","67,3",,,,,,,,""
"169","BasicFit apparaat","26-08-2021 07:09:12","67,6","10,5",,"85,1",,,,"4,4",""
"168","Weegschaal thuis","26-08-2021 06:04:01","67,4",,,,,,,,""
"167","Weegschaal thuis","25-08-2021 08:50:36","67,5",,,,,,,,""
"150","Weegschaal thuis","24-08-2021 09:08:29","67,3",,,,,,,,""
"149","Better Bodies apparaat","23-08-2021 21:02:25","67,5","11,0","57,1",,"42,1","62,4","3,0",,"Vanaf vandaag geen supersets meer. Enkel oefeningen per spiergroep 1 voor 1 afronden. Ik kan wel een latere oefening van dezelfde spiergroep als eerst uitvoeren bijv. maar geen oefening van een andere spiergroep tot ik alle oefeningen van dezelfde spiergroep heb afgerond.<br><br>Dit advies kwam ook van Kevin van Better Bodies. Het gebruik van mijn voorgaande supersets zou echter niet uit moeten maken m.b.t. mijn spiermassaopbouw op mijn beginnersniveau, maar gewoon om maar zeker te zijn. Daarbij heb ik ondervonden dat supersets toch enkel mij 10 min max. tijdvoordeel geven. Weinig verschil dus."
"131","Weegschaal thuis","23-08-2021 09:11:47","67,3",,,,,,,,""
"130","BasicFit apparaat","22-08-2021 18:04:43","65,8","8,5",,"86,9",,,,"4,6","Wat later op de dag gemeten vandaag, dag na cheatday. Nogal optimistisch resultaat denk ik?"
"129","Weegschaal thuis","22-08-2021 12:59:46","67,2",,,,,,,,"Cheatday gisteren gehad, 3100 kcal ingenomen"
"128","Weegschaal thuis","21-08-2021 09:33:22","67,0",,,,,,,,""
"127","Weegschaal thuis","20-08-2021 12:10:41","66,5",,,,,,,,""
"126","BasicFit apparaat","19-08-2021 07:12:52","66,6","10,4",,"85,1",,,,"4,5",""
